"Season_ID","Season","Champ"
1,"63/64",NA
2,"64/65",NA
3,"65/66",NA
4,"66/67",NA
5,"67/68",NA
6,"68/69",NA
7,"69/70",NA
8,"70/71",NA
9,"71/72",NA
10,"72/73",NA
11,"73/74",NA
12,"74/75",NA
13,"75/76",NA
14,"76/77",NA
15,"77/78",NA
16,"78/79",NA
17,"79/80",NA
18,"80/81",NA
19,"81/82",NA
20,"82/83",NA
21,"83/84",NA
22,"84/85",NA
23,"85/86",NA
24,"86/87",NA
25,"87/88",NA
26,"88/89",NA
27,"89/90",NA
28,"90/91",NA
29,"91/92",NA
30,"92/93",NA
31,"93/94",NA
32,"94/95",NA
33,"95/96",NA
34,"96/97",NA
35,"97/98",NA
36,"98/99",NA
37,"99/00",NA
38,"00/01",NA
39,"01/02",NA
40,"02/03",NA
41,"03/04",NA
42,"04/05",NA
43,"05/06",NA
44,"06/07",NA
45,"07/08",NA
46,"08/09",NA
47,"09/10",NA
48,"10/11",NA
49,"11/12",NA
50,"12/13",NA
51,"13/14",NA
52,"14/15",NA
53,"15/16",NA
